team-severity,average in days,maximum,amount of findings
"team/security-Medium","2","4 days, 6 hours, 14 minutes, 51.431 seconds",2
"team/operations-test-Medium","2","5 days, 11 minutes, 10.697 seconds",9
"team/security-test-Medium","4","5 days, 10 minutes, 56.973 seconds",37
"team/security-test-High","5","5 days, 11 minutes, 41.010 seconds",38
"team/test-Medium","1","3 days, 12 hours, 50 minutes, 28.576 seconds",4
"team/project-test-Medium","4","5 days, 3 minutes, 36.393 seconds",16
"team/test-1970-Medium","5","5 days, 8 minutes, 33.053 seconds",2
"-Medium","4","5 days, 8 minutes, 5.376 seconds",4
"team/operations-Medium","3","5 days, 6 minutes, 40.952 seconds",6
"team/project-test-High","2","5 days, 3 minutes, 34.937 seconds",6
