environment,team,severity,average in days (including all open findings),average in days for findings opened within 2022-06-06T09:49-2022-09-04T09:49,maximum (all opened findings),maximum in days for findings opened within 2022-06-06T09:49-2022-09-04T09:49,amount of findings (all open),amount of findings in days for findings opened within 2022-06-06T09:49-2022-09-04T09:49
"cluster/lord-of-the-rings","team/nobody","Critical",0,0,0,0,2,2
"cluster/lord-of-the-rings","team/nobody","Medium",0,0,0,0,6,6
