environment,team,severity,average in days (including all open findings),average in days for findings opened within 2022-03-15T06:51-2022-06-13T06:51,maximum (all opened findings),maximum in days for findings opened within 2022-03-15T06:51-2022-06-13T06:51,amount of findings (all open),amount of findings in days for findings opened within 2022-03-15T06:51-2022-06-13T06:51
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","Critical",0,0,0,0,56,56
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","High",0,0,0,0,135,135
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","Medium",0,0,0,0,126,126
"cluster/lord-of-the-rings","team/fellowship-of-the-ring","Low",0,0,0,0,26,26
"cluster/test","team/security","Medium",5,5,5,5,2,2
"cluster/test-cluster","team/operations-test","Medium",5,5,10,10,9,9
"cluster/test-cluster","team/project-test","High",7,7,10,10,6,6
"cluster/test-cluster","team/project-test","Medium",9,9,10,10,16,16
"cluster/test-cluster","team/security-test","High",9,9,10,10,38,38
"cluster/test-cluster","team/security-test","Medium",9,9,10,10,37,37
"cluster/test-cluster","team/security-test","Low",10,10,10,10,1,1
"cluster/test-cluster","team/test","Medium",1,1,3,3,5,5
"cluster/test-cluster","team/test-1970","Medium",10,10,10,10,2,2
